,Close,Market_daily_ret,Strat_daily_ret,Strat_position_EOD,Long_only,Costs,Market_cum_ret,Strat_cum_ret
1953-01-02,26.540000915527344,-0.001129047032044861,-0.000111538462,1,0,0.000111538462,99.88709529679551,99.9888461538
1953-01-05,26.65999984741211,0.00452143661436577,0.00452143661436577,1,0,0.0,100.33872846677309,100.44093938382798
1953-01-06,26.479999542236328,-0.00675169940757725,-0.00675169940757725,1,0,0.0,99.66127153322694,99.7627923528937
1953-01-07,26.3700008392334,-0.004154029641408319,-0.004154029641408319,1,0,0.0,99.24727565717747,99.34837475635011
1953-01-08,26.329999923706055,-0.0015169099072545045,-0.0015169099072545045,1,0,0.0,99.09672648146508,99.19767222241256
1953-01-09,26.079999923706055,-0.009494872796217302,-0.009606411258217302,0,0,0.000111538462,98.15581566900204,98.24473858718625
1953-01-12,25.860000610351562,-0.008435556518331055,-0.0,0,0,0.0,97.32781673832328,98.24473858718625
1953-01-13,26.020000457763672,0.006187155593030624,0.0,0,0,0.0,97.92999908401325,98.24473858718625
1953-01-14,26.079999923706055,0.002305897958755798,0.0,0,0,0.0,98.15581566900204,98.24473858718625
1953-01-15,26.1299991607666,0.0019171486659055326,0.0,0,0,0.0,98.34399496006273,98.24473858718625
1953-01-16,26.020000457763672,-0.0042096711265146025,-0.0,0,0,0.0,97.92999908401325,98.24473858718625
1953-01-19,26.010000228881836,-0.00038432854365499924,-0.0,0,0,0.0,97.89236179008516,98.24473858718625
1953-01-20,26.139999389648438,0.0049980453526581314,0.0,0,0,0.0,98.38163225399083,98.24473858718625
1953-01-21,26.09000015258789,-0.0019127482107114124,-0.0,0,0,0.0,98.19345296293014,98.24473858718625
1953-01-22,26.1200008392334,0.001149892160599686,0.0,0,0,0.0,98.30636484471442,98.24473858718625
1953-01-23,26.06999969482422,-0.001914285712199315,-0.0,0,0,0.0,98.11817837507392,98.24473858718625
1953-01-26,26.020000457763672,-0.001917884067734521,-0.0,0,0,0.0,97.92999908401325,98.24473858718625
1953-01-27,26.049999237060547,0.0011529123277906894,0.0,0,0,0.0,98.04290378721772,98.24473858718625
1953-01-28,26.1299991607666,0.0030710144356642655,0.0,0,0,0.0,98.34399496006272,98.24473858718625
1953-01-29,26.200000762939453,0.002678974528172118,0.0,0,0,0.0,98.60745601755941,98.24473858718625
1953-01-30,26.3799991607666,0.006870167655939952,-0.000111538462,1,0,0.000111538462,99.28490577252576,98.23378052014465
1953-02-02,26.510000228881836,0.004928016385556955,0.004928016385556955,1,0,0.0,99.77418341501125,98.71787820016313
1953-02-03,26.540000915527344,0.0011316743261595708,0.0011316743261595708,1,0,0.0,99.88709529679556,98.82959468845519
1953-02-04,26.420000076293945,-0.004521508481304948,-0.004521508481304948,1,0,0.0,99.43545494823817,98.38273583786741
1953-02-05,26.149999618530273,-0.010219547955487629,-0.010219547955487629,1,0,0.0,98.41926954791893,97.37730875098025
1953-02-06,26.510000228881836,0.013766753942759502,0.013766753942759502,1,0,0.0,99.77418341501125,98.71787820016313
1953-02-09,25.690000534057617,-0.030931712099000808,-0.031043250561000806,0,0,0.000111538462,96.68799709870522,95.6533543723451
1953-02-10,25.6200008392334,-0.0027247837045164536,-0.0,0,0,0.0,96.42454321978833,95.6533543723451
1953-02-11,25.639999389648438,0.0007805835191236898,0.0,0,0,0.0,96.49981062906473,95.6533543723451
1953-02-13,25.739999771118164,0.0039001709769970194,0.0,0,0,0.0,96.87617638976592,95.6533543723451
1953-02-16,25.649999618530273,-0.0034965094556401732,-0.0,0,0,0.0,96.53744792299284,95.6533543723451
1953-02-17,25.5,-0.005847938431231325,-0.0,0,0,0.0,95.97290287123097,95.6533543723451
1953-02-18,25.479999542236328,-0.0007843316770067554,-0.0,0,0,0.0,95.89762828337477,95.6533543723451
1953-02-19,25.56999969482422,0.003532188155604299,0.0,0,0,0.0,96.23635675014785,95.6533543723451
1953-02-20,25.6299991607666,0.002346478946361863,0.0,0,0,0.0,96.46217333513664,95.6533543723451
1953-02-24,25.75,0.004682046163196674,0.0,0,0,0.0,96.91381368369403,95.6533543723451
1953-02-25,25.90999984741211,0.006213586307266317,0.0,0,0,0.0,97.51599602938398,95.6533543723451
1953-02-26,25.950000762939453,0.0015438408245045387,0.0,0,0,0.0,97.66654520509638,95.6533543723451
1953-02-27,25.899999618530273,-0.0019268263175000744,-0.0,0,0,0.0,97.47835873545588,95.6533543723451
1953-03-02,25.93000030517578,0.0011583276867712655,-0.000111538462,1,0,0.000111538462,97.59127061724018,95.64268534431328
1953-03-03,26.0,0.0026995639799605176,0.0026995639799605176,1,0,0.0,97.85472449615708,95.90087889261548
